
         The numerical solution of Blasius equation
             shooting by Newton-Rhapson method


     eta      f(eta)        f'(eta)       f''(eta)         V    
   4.8000   3.085320655   0.987789526   0.021871186   0.828034535
   4.9000   3.184203510   0.989814692   0.018698304   0.832944241
   5.0000   3.283273665   0.991541900   0.015906799   0.837217918
   5.1000   3.382503180   0.993007713   0.013465122   0.840918077
   5.2000   3.481867612   0.994245535   0.011341789   0.844104586
   5.3000   3.581345700   0.995285651   0.009505914   0.846834126
   5.4000   3.680919063   0.996155304   0.007927660   0.849159789
   5.5000   3.780571893   0.996878821   0.006578593   0.851130811
   5.6000   3.880290678   0.997477768   0.005431958   0.852792412
   5.7000   3.980063930   0.997971128   0.004462865   0.854185751
   5.8000   4.079881939   0.998375494   0.003648414   0.855347962
   5.9000   4.179736544   0.998705268   0.002967744   0.856312269
   6.0000   4.279620923   0.998972872   0.002402040   0.857108156
   6.1000   4.379529403   0.999188946   0.001934482   0.857761583
   6.2000   4.479457297   0.999362542   0.001550171   0.858295231
   6.3000   4.579400752   0.999501316   0.001236016   0.858728771
   6.4000   4.679356615   0.999611702   0.000980615   0.859079138
   6.5000   4.779322326   0.999699068   0.000774109   0.859360807
   6.6000   4.879295811   0.999767870   0.000608044   0.859586066
   6.7000   4.979275404   0.999821783   0.000475223   0.859765272
   6.8000   5.079259772   0.999863819   0.000369563   0.859907099
   6.9000   5.179247855   0.999896430   0.000285962   0.860018757
   7.0000   5.279238811   0.999921604   0.000220169   0.860106209
   7.1000   5.379231981   0.999940940   0.000168668   0.860174346
   7.2000   5.479226847   0.999955717   0.000128570   0.860227159
   7.3000   5.579223007   0.999966955   0.000097515   0.860267881
   7.4000   5.679220147   0.999975458   0.000073593   0.860299120
   7.5000   5.779218028   0.999981859   0.000055262   0.860322959
   7.6000   5.879216466   0.999986655   0.000041290   0.860341057
   7.7000   5.979215319   0.999990230   0.000030697   0.860354726
   7.8000   6.079214481   0.999992881   0.000022708   0.860364996
   7.9000   6.179213872   0.999994838   0.000016714   0.860372673
   8.0000   6.279213431   0.999996275   0.000012241   0.860378382
   8.1000   6.379213114   0.999997324   0.000008920   0.860382606
   8.2000   6.479212887   0.999998087   0.000006468   0.860385715
   8.3000   6.579212725   0.999998640   0.000004666   0.860387992
   8.4000   6.679212609   0.999999037   0.000003350   0.860389650
   8.5000   6.779212528   0.999999321   0.000002393   0.860390852
   8.6000   6.879212471   0.999999524   0.000001701   0.860391719
   8.7000   6.979212431   0.999999668   0.000001203   0.860392340
   8.8000   7.079212403   0.999999769   0.000000846   0.860392784
   8.9000   7.179212384   0.999999841   0.000000593   0.860393099
   9.0000   7.279212371   0.999999890   0.000000413   0.860393322
   9.1000   7.379212362   0.999999925   0.000000286   0.860393478
   9.2000   7.479212355   0.999999949   0.000000197   0.860393587
   9.3000   7.579212351   0.999999965   0.000000135   0.860393664
   9.4000   7.679212348   0.999999977   0.000000092   0.860393716
   9.5000   7.779212346   0.999999984   0.000000063   0.860393752
   9.6000   7.879212345   0.999999990   0.000000042   0.860393777
   9.7000   7.979212344   0.999999993   0.000000029   0.860393794
   9.8000   8.079212344   0.999999995   0.000000019   0.860393806
   9.9000   8.179212343   0.999999997   0.000000013   0.860393813
  10.0000   8.279212343   0.999999998   0.000000008   0.860393819
  10.1000   8.379212343   0.999999999   0.000000006   0.860393822
  10.2000   8.479212343   0.999999999   0.000000004   0.860393824
  10.3000   8.579212343   0.999999999   0.000000002   0.860393826
